# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-16T10:51:36Z    17.7923474127
2016-05-16T11:18:16Z    17.8847120157
2016-05-16T11:58:16Z    18.0247688543
2016-05-16T12:24:56Z    18.11537031
2016-05-16T12:51:36Z    18.2007090315
2016-05-16T13:18:16Z    18.2782734135
2016-05-16T13:44:56Z    18.3457445168
2016-05-16T14:11:36Z    18.4010805433
2016-05-16T14:38:17Z    18.4425878138
2016-05-16T15:04:57Z    18.4689749895
2016-05-16T15:31:37Z    18.4793883087
2016-05-16T15:58:17Z    18.473426742
2016-05-16T16:24:57Z    18.4511371333
2016-05-16T16:51:37Z    18.4129905115
2016-05-16T17:18:17Z    18.3598417656
2016-05-16T17:44:57Z    18.2928757357
2016-05-16T18:11:37Z    18.2135434565
2016-05-16T18:38:17Z    18.1234927588
2016-05-16T19:04:58Z    18.0244976568
2016-05-16T19:31:38Z    17.9183908909
2016-05-16T19:58:18Z    17.8070036457
2016-05-16T20:24:58Z    17.6921158202
2016-05-16T21:14:58Z    17.4730726077
2016-05-16T21:41:38Z    17.3571555758
2016-05-16T22:08:18Z    17.2436649517
2016-05-16T22:34:58Z    17.133870858
2016-05-16T23:01:38Z    17.0289740075
2016-05-16T23:28:18Z    16.9301380281
2016-05-16T23:54:59Z    16.838523715
2016-05-17T00:21:39Z    16.7553210111
2016-05-17T00:48:19Z    16.6817746072
2016-05-17T01:14:59Z    16.6191994505
2016-05-17T01:41:39Z    16.5689831098
2016-05-17T02:08:19Z    16.5325728452
2016-05-17T02:34:59Z    16.5114463154
2016-05-17T03:01:39Z    16.5070660569
2016-05-17T03:28:19Z    16.5208191162
2016-05-17T03:54:59Z    16.5539444171
2016-05-17T04:21:39Z    16.6074515286
2016-05-17T04:48:20Z    16.6820353847
2016-05-17T05:15:00Z    16.777992139
2016-05-17T05:41:40Z    16.8951416558
2016-05-17T06:08:20Z    17.0327621295
2016-05-17T06:35:00Z    17.1895419611
2016-05-17T07:01:40Z    17.3635533354
2016-05-17T07:28:20Z    17.5522509602
2016-05-17T07:55:00Z    17.7524982078
2016-05-17T08:21:40Z    17.9606215128
2016-05-17T08:55:00Z    18.2255270372
2016-05-17T09:21:41Z    18.4357596487
2016-05-17T09:48:21Z    18.6393799042
2016-05-17T10:15:01Z    18.8316299008
2016-05-17T10:41:41Z    19.0078795275
2016-05-17T11:08:21Z    19.1637895252
2016-05-17T11:35:01Z    19.2954703445
